D	P	C	O	F	G	S	A1	A10	A11	A12	A14	A15	A16	A17	A19	A22	A23	A24	A25	A26	A28	A29	A3	A30	A31	A32	A33	A35	A37	A4	A40	A42	A43	A44	A45	A46	A49	A5	A52	A53	A54	A55	A56	A57	A61	A62	A64	A65	A66	A67	A68	A69	A7	A72	A73	A75	A76	A78	A79	A8	A81	A82	A83	A84	A86	A9	A91	A92
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	[Arcobacter].porcinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	[Brevibacterium].frigoritolerans	0	0	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05
Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	[Candida].glabrata	0	0	0	0	0.00175	0	0	0	0.00185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium].hylemonae	0	0.00049	0	0.00175	0	0	0	0	0	0	0	0.0016	0	0.00292	0.00087	0.00411	0	0.00611	0.00155	0	0.00082	0.00066	0	0	0	0	0	0	0.00022	0	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0.00295	0.00164	0	0.00143	0	0.00402	0	0	0	0.01015	0.00281	0	0.01921	0	0.00141	0	2.00E-05	0.00131
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium].innocuum	0	0.00061	0.00108	0.00119	0.00182	0	0	0	0.02834	0	0	0	0.00114	0	0.00125	0	0	0.00543	0	0.00087	0.00209	0	0	0	0.01205	0.00742	0	0.00776	0.00036	0	0	0	0	0	0.00316	0.00194	0.00476	0.00735	0.00171	0	0.00401	0	0	0	0.00228	0.0017	0.00647	0.00513	0	0	0	0	0	0	0	0.00577	0.00276	0	0.00913	0.04742	4.00E-05	0.00453
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium].scindens	0.00693	0.00188	0.00031	0.00685	0.00179	0	0	0	0.00187	0	0.0021	0.0097	0.00227	0.01102	0.00187	0	0	0.00799	0.00468	0.01059	0.01507	0.001	0	0	0	0.00503	0	0	0.00051	0	0	0.00215	0	0	0.00532	0.0057	0	0.00184	0	0.00104	0.01181	0	6.00E-05	0.00771	0	0.01105	0.0052	0.00646	0	0.00706	0	0	0	0	0	0.01003	0.00668	0.0183	0.00833	0.00423	0.00014	0.00754
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pluralibacter	[Enterobacter].lignolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus].ducreyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Basfia	[Mannheimia].succiniciproducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Tenericutes	NA	Mycoplasmoidales	Metamycoplasmataceae	Metamycoplasma	[Mycoplasma].phocidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	0	0	0	0	0
